8 Byte x 4096: 0.7 MB/s
16 Byte x 4096: 1.3 MB/s
32 Byte x 4096: 2.6 MB/s
64 Byte x 2048: 6.9 MB/s
128 Byte x 2048: 13.4 MB/s
256 Byte x 2048: 26.8 MB/s
512 Byte x 1024: 52.3 MB/s
1024 Byte x 1024: 108.2 MB/s
2048 Byte x 1024: 213.4 MB/s
4096 Byte x 512: 428.9 MB/s
8192 Byte x 512: 823.5 MB/s
16384 Byte x 512: 1236.1 MB/s
32768 Byte x 256: 2491.4 MB/s
65536 Byte x 256: 4086.8 MB/s
131072 Byte x 256: 5029.7 MB/s
262144 Byte x 128: 5593.3 MB/s
524288 Byte x 128: 6069.4 MB/s
1048576 Byte x 128: 6329.1 MB/s
2097152 Byte x 64: 6364.0 MB/s
4194304 Byte x 64: 6139.2 MB/s
8388608 Byte x 64: 6297.7 MB/s
16777216 Byte x 32: 6292.9 MB/s
33554432 Byte x 32: 6350.2 MB/s
67108864 Byte x 32: 6383.2 MB/s
134217728 Byte x 16: 6230.0 MB/s
268435456 Byte x 16: 5423.2 MB/s
536870912 Byte x 16: 4958.8 MB/s
1073741824 Byte x 8: 5153.0 MB/s
2147483648 Byte x 8: 5131.9 MB/s

Finished after 9 s
max: 6383 MB/s
rgm: 5198 MB/s
avg: 3353 MB/s
